id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command,
0,-8.35887,1.65299,-1.90735e-06,0,0,-0.0212678,0.999774,
1,-5.22917,1.91738,0,0,0,0.0286106,0.999591,
2,-3.37962,4.09603,0,0,0,-0.0249159,0.99969,
3,-2.57028,5.48895,0,0,0,-3.61764e-07,1,
4,-6.82513,5.53976,0,0,0,-0.00828893,0.999966,
5,-7.89971,2.08998,1.90735e-06,0,0,0.0361963,0.999345,
6,-5.21718,2.22736,0,0,0,0.0786137,0.996905,
7,-5.32417,-0.608788,0,0,0,0.00265048,0.999996,
8,-4.1615,-3.45095,0,0,0,0.00640468,0.999979,
9,-7.04894,-2.22014,1.90735e-06,0,0,0.0106092,0.999944,
10,-11.0093,-2.57323,0,0,0,-0.0277651,0.999614,
11,-11.0848,-5.05452,0,0,0,0.0375136,0.999296,
